EQTYPE,FREQBAND,LOWERMOD,BANDWITDH,PTX,PTH,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
19,6L,1,7,29,-93.0,,,,,,,,
19,6L,1,14,29,-90.5,,,,,,,,
19,6L,1,28,29,-87.5,,,,,,,,
19,6L,1,56,29,-85.0,,,,,,,,
19,6L,2,7,29,-89.0,,,,,,,,
19,6L,2,14,29,-88.5,,,,,,,,
19,6L,2,28,29,-86.0,,,,,,,,
19,6L,2,56,29,-83.5,,,,,,,,
19,6L,3,7,29,-86.5,,,,,,,,
19,6L,3,14,29,-84.5,,,,,,,,
19,6L,3,28,29,-80.5,,,,,,,,
19,6L,3,56,29,-78.0,,,,,,,,
19,6L,4,7,26,-83.5,,,,,,,,
19,6L,4,14,26,-82.0,,,,,,,,
19,6L,4,28,26,-79.0,,,,,,,,
19,6L,4,56,26,-77.0,,,,,,,,
19,6L,6,7,26,-81.0,,,,,,,,
19,6L,6,14,26,-78.5,,,,,,,,
19,6L,6,28,26,-75.5,,,,,,,,
19,6L,6,56,26,-73.5,,,,,,,,
19,6L,7,7,25,-78.5,,,,,,,,
19,6L,7,14,25,-76.5,,,,,,,,
19,6L,7,28,25,-73.5,,,,,,,,
19,6L,7,56,25,-72.0,,,,,,,,
19,6L,8,7,25,-77.0,,,,,,,,
19,6L,8,14,25,-74.0,,,,,,,,
19,6L,8,28,25,-71.5,,,,,,,,
19,6L,8,56,25,-69.0,,,,,,,,
19,6L,9,7,24,-74.0,,,,,,,,
19,6L,9,14,24,-71.0,,,,,,,,
19,6L,9,28,24,-68.5,,,,,,,,
19,6L,9,56,24,-65.5,,,,,,,,
19,6U,1,7,29,-93.0,,,,,,,,
19,6U,1,14,29,-90.5,,,,,,,,
19,6U,1,28,29,-87.5,,,,,,,,
19,6U,1,56,29,-85.0,,,,,,,,
19,6U,2,7,29,-89.0,,,,,,,,
19,6U,2,14,29,-88.5,,,,,,,,
19,6U,2,28,29,-86.0,,,,,,,,
19,6U,2,56,29,-83.5,,,,,,,,
19,6U,3,7,29,-86.5,,,,,,,,
19,6U,3,14,29,-84.5,,,,,,,,
19,6U,3,28,29,-80.5,,,,,,,,
19,6U,3,56,29,-78.0,,,,,,,,
19,6U,4,7,26,-83.5,,,,,,,,
19,6U,4,14,26,-82.0,,,,,,,,
19,6U,4,28,26,-79.0,,,,,,,,
19,6U,4,56,26,-77.0,,,,,,,,
19,6U,6,7,26,-81.0,,,,,,,,
19,6U,6,14,26,-78.5,,,,,,,,
19,6U,6,28,26,-75.5,,,,,,,,
19,6U,6,56,26,-73.5,,,,,,,,
19,6U,7,7,25,-78.5,,,,,,,,
19,6U,7,14,25,-76.5,,,,,,,,
19,6U,7,28,25,-73.5,,,,,,,,
19,6U,7,40,25,-72.5,,,,,,,,
19,6U,7,56,25,-72.0,,,,,,,,
19,6U,8,7,25,-77.0,,,,,,,,
19,6U,8,14,25,-74.0,,,,,,,,
19,6U,8,28,25,-71.5,,,,,,,,
19,6U,8,40,25,-70.0,,,,,,,,
19,6U,8,56,25,-69.0,,,,,,,,
19,6U,9,7,24,-74.0,,,,,,,,
19,6U,9,14,24,-71.0,,,,,,,,
19,6U,9,28,24,-68.5,,,,,,,,
19,6U,9,40,24,-67.0,,,,,,,,
19,6U,9,56,24,-65.5,,,,,,,,
19,7,1,7,29,-93.0,,,,,,,,
19,7,1,14,29,-90.5,,,,,,,,
19,7,1,28,29,-87.5,,,,,,,,
19,7,1,56,29,-85.0,,,,,,,,
19,7,2,7,29,-89.0,,,,,,,,
19,7,2,14,29,-88.5,,,,,,,,
19,7,2,28,29,-86.0,,,,,,,,
19,7,2,56,29,-83.5,,,,,,,,
19,7,3,7,29,-86.5,,,,,,,,
